# totals: total=8886 in_sitemap=3162 drafts=5724 archived=0
# rule: sitemap = is_published AND NOT is_archived
id,slug,bot_status,browser_status,leak
8073,hydrogen-water-brain-health-your-questions-answered-699281,301,301,false
6235,hydrogen-water-heart-health-your-questions-answered-926611,301,301,false
9434,how-to-use-hydrogen-water-for-stomach-health-a-science-backed-guide-600687,301,301,false
6366,hydrogen-water-eye-health-can-it-protect-your-vision-124700,301,301,false
9745,hydrogen-water-oral-health-what-2024-research-shows-328950,301,301,false
6043,how-to-use-hydrogen-therapy-lung-health-for-transplants-976051,301,301,false
5476,hydrogen-water-brain-health-what-2024-research-shows-728301,301,301,false
6867,hydrogen-water-health-benefits-for-cancer-your-questions-answered-813347,301,301,false
9575,hydrogen-water-health-benefits-for-stress-what-2024-research-shows-078237,301,301,false
5347,hydrogen-water-health-benefits-what-2024-cancer-research-shows-021358,301,301,false
